415,445,480,515,555,590,630,680,730,760,810,860,910,Glucose
0,99;0,99;0,99;0,99;0,99;0,99;0,98;0,97;0,91;0,9;0,9;0,92;0,85;127
0,99;0,99;0,99;0,99;0,99;0,99;0,98;0,97;0,91;0,9;0,9;0,93;0,85;127
0,99;0,99;0,99;0,99;0,99;0,99;0,98;0,97;0,91;0,9;0,9;0,93;0,85;127
0,98;0,98;0,99;0,98;0,98;0,98;0,94;0,93;0,81;0,84;0,83;0,85;0,74;128
0,98;0,98;0,98;0,98;0,98;0,98;0,95;0,93;0,81;0,83;0,83;0,85;0,73;128
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,93;0,81;0,84;0,83;0,85;0,73;128
0,98;0,99;0,99;0,98;0,98;0,98;0,96;0,93;0,81;0,84;0,83;0,87;0,74;128
0,98;0,99;0,98;0,98;0,98;0,98;0,95;0,93;0,81;0,84;0,83;0,85;0,74;128
0,98;0,99;0,98;0,98;0,98;0,98;0,95;0,93;0,81;0,84;0,83;0,87;0,74;128
0,98;0,98;0,97;0,98;0,97;0,97;0,93;0,92;0,86;0,87;0,83;0,85;0,66;129
0,98;0,98;0,97;0,98;0,97;0,97;0,93;0,92;0,86;0,87;0,82;0,84;0,65;129
0,98;0,98;0,97;0,98;0,97;0,97;0,93;0,92;0,86;0,87;0,82;0,84;0,66;129
0,98;0,98;0,97;0,98;0,97;0,97;0,93;0,92;0,86;0,87;0,82;0,84;0,65;129
0,98;0,98;0,97;0,98;0,97;0,97;0,93;0,92;0,86;0,87;0,83;0,85;0,66;129
0,98;0,98;0,97;0,98;0,97;0,97;0,93;0,92;0,86;0,87;0,83;0,84;0,66;129
0,98;0,99;0,99;0,99;0,98;0,98;0,94;0,94;0,88;0,89;0,89;0,91;0,82;133
